iter	Passed	Remaining
0	4	435
1	4	229
2	4	155
3	5	121
4	5	98
5	5	84
6	5	74
7	5	66
8	5	60
9	6	55
10	6	53
11	9	68
12	9	64
13	9	60
14	10	57
15	10	54
16	10	51
17	14	67
18	15	64
19	15	61
20	15	58
21	15	56
22	16	53
23	16	51
24	16	49
25	16	47
26	26	71
27	29	75
28	29	72
29	30	70
30	35	78
31	35	75
32	36	73
33	42	82
34	45	85
35	46	82
36	46	79
37	46	76
38	46	73
39	47	70
40	47	68
41	47	65
42	47	63
43	47	61
44	56	69
45	57	67
46	57	64
47	57	62
48	57	60
49	58	58
50	58	56
51	65	60
52	65	58
53	66	56
54	66	54
55	66	52
56	66	50
57	67	48
58	67	46
59	67	45
60	68	43
61	68	41
62	68	40
63	68	38
64	68	37
65	69	35
66	82	40
67	86	40
68	86	38
69	86	37
70	91	37
71	94	36
72	95	35
73	96	33
74	98	32
75	98	31
76	99	29
77	99	28
78	102	27
79	103	25
80	103	24
81	103	22
82	104	21
83	104	19
84	104	18
85	104	17
86	108	16
87	109	14
88	109	13
89	109	12
90	116	11
91	116	10
92	116	8
93	117	7
94	117	6
95	122	5
96	123	3
97	123	2
98	124	1
99	124	0
